Equipment County,Equipment Borough,Equipment Street No.,Equipment Street Address,Equipment City,Equipment Zip Code,Equip. Unique ID,Intended Use,Manufacturer,Model,Cooling Capacity,Cooling Capacity Unit,Commissioned Date,Inspection Date,Date of Bacteriological Sample Collection,Date of Legionella Sample Collection ,"Last Legionella Sample Result > 1,000 CFU/mL",Location 1
New York,Manhattan,355,Lexington Ave,New York,10017,8854,Air Conditioning,Phillips,custom built,900,Tonnage,4/1/58,,3/28/16,3/28/16,no,"(40.750275985553856, -73.9767306363701)"
New York,Manhattan,355,Lexington Ave.,New York,10017,9093,Air Conditioning,phillips,custom built,900,Tonnage,5/6/58,5/6/16,5/6/16,5/6/16,no,"(40.750275985553856, -73.9767306363701)"
New York,Manhattan,355,Lexington Ave.,New York,10017,9478,Air Conditioning,Phillips,custom built,900,Tonnage,7/16/58,6/10/16,6/10/16,6/10/16,no,"(40.750275985553856, -73.9767306363701)"
New York,Manhattan,355,Lexington Ave,New York,10017,9909,Air Conditioning,Phillips,custom built,1300,BTU,10/8/58,10/10/16,,,no,"(40.750275985553856, -73.9767306363701)"
New York,Manhattan,355,Lexington Ave,New York,10017,10114,Air Conditioning,,,,Tonnage,10/8/58,10/31/16,,,no,"(40.750275985553856, -73.9767306363701)"
New York,Manhattan,355,Lexington Ave,NYC,10017,3332,Air Conditioning,Phillips,custom built,450,Tonnage,11/20/58,5/4/17,6/5/17,5/4/17,no,"(40.750267721, -73.976729195)"
New York,Manhattan,100,Trinity Pl,New York,10006,8099,Air Conditioning,Phillips,N/A,300,Tonnage,12/1/59,9/29/16,6/28/17,9/7/16,no,"(40.70923633742057, -74.0121837511863)"
New York,Manhattan,1271,6th Avenue,New York,10020,884,Air Conditioning,Custom Built Towers,N/A,,Tonnage,12/31/59,5/16/17,5/26/17,5/16/17,no,"(40.760304296, -73.980182243)"
New York,Manhattan,40,Fulton Street,New York,10038,2427,Air Conditioning,BAC,3765-2CR,750,Tonnage,1/1/60,5/11/17,5/11/17,6/15/17,no,"(40.707942369, -74.004578277)"
New York,Manhattan,1285,Avenue of the Americas,New York,10019,3188,Air Conditioning,Marley,4-788CS,5060,Tonnage,1/1/60,8/30/16,1/31/17,1/31/17,no,"(40.760926414, -73.979960455)"
New York,Manhattan,39 west,55 street,New York,10019,7791,Air Conditioning,Marley,PAQ 8308,82,Tonnage,1/1/60,10/10/16,5/11/17,5/11/17,no,"(40.76248083158059, -73.97659972141073)"
New York,Manhattan,60,Broad Street,New York,10004,7919,Air Conditioning,Phillips Cooling Tower Co.,913,263000,CFM,1/1/60,10/27/16,9/26/16,9/26/16,no,"(40.70533871616984, -74.01162509812434)"
New York,Manhattan,45,Church St,Lake Ronkonkoma,11779,10873,Air Conditioning,Baltimore Aircoil Co.,FXT-990,75,Tonnage,1/1/60,11/18/16,10/26/16,10/26/16,no,"(40.81762860917983, -73.11631065884401)"
New York,Manhattan,522,5th Ave,New York,10036,129,Air Conditioning,Philips,CHV7600DAJV,1500,Tonnage,2/10/60,5/24/17,3/27/17,6/20/17,no,"(40.754638141, -73.980261009)"
New York,Manhattan,1000,3rd Avenue,New York,10022,8506,Air Conditioning,Marley,NC92,,BTU,3/5/60,6/1/17,5/31/17,4/21/17,no,"(40.7619496109689, -73.96652808824177)"
Monroe,,2131,Elmwood Ave,Rochester,14618,9673,Air Conditioning,Baltimore Aircoil,FXT-260CP,260,Tonnage,3/8/60,5/17/17,5/17/17,5/17/17,no,"(43.12489464565486, -77.57986591823726)"
New York,Manhattan,301,East 48th Street,New York,10017,6777,Air Conditioning,Evapco,At-8-182,5,Tonnage,4/1/60,8/6/15,8/6/15,8/6/15,no,"(40.753580083, -73.969068512)"
Erie,,1200,William St,Buffalo,14206,10896,Air Conditioning,BAC,VT18000CR,400,Tonnage,5/1/60,5/2/17,8/18/17,8/18/17,no,"(42.88496865940721, -78.82798231777423)"
Erie,,8989,Sheridan Dr.,Clarence,14031,9157,Air Conditioning,Baltimore,35-TMA,40,Tonnage,5/11/60,7/27/17,7/27/17,7/27/17,no,"(42.97168426330076, -78.65702949480477)"
Wayne,,10345 Storge Avenue,Storage Ave,North Rose,14516,10930,Refrigeration,Vilter,VPS-300,70,Tonnage,6/1/60,4/4/17,5/8/17,4/5/17,no,"(43.18477134805922, -76.8924281726369)"
Wayne,,50,Maple Avenue,Sodus,14551,8158,Refrigeration,Vilter,VPF350,245,Tonnage,6/15/60,12/8/15,5/15/17,5/15/17,no,"(43.2388041566375, -77.05903659883377)"
Wayne,,50,Maple Avenue,Sodus,14551,8160,Refrigeration,Niagara,25015,234,Tonnage,6/15/60,3/10/15,5/15/17,5/15/17,no,"(43.2388041566375, -77.05903659883377)"
New York,Manhattan,80,pine street,New York,10005,3345,Air Conditioning,Phillips,2-336 D,4268,Tonnage,8/1/60,8/15/17,8/15/17,8/15/17,no,"(40.7059154487136, -74.00709530417981)"
New York,Manhattan,128,West End Avenue,New York,10023,2464,Air Conditioning,EVAPCO,AT8-56B,175,Tonnage,9/1/60,7/13/17,8/30/17,7/25/17,no,"(40.775607964, -73.987313611)"
New York,Manhattan,128,West End Avenue,New York,10023,2469,Air Conditioning,Baltimore Air Coil,FXT 136,136,Tonnage,9/1/60,,,,no,"(40.775607964, -73.987313611)"
New York,Manhattan,60,West 57th St,New York,10019,7281,Air Conditioning,Marley,NC8918,,BTU,10/1/60,9/3/15,8/11/15,8/11/15,yes,"(40.76404769, -73.976993856)"
New York,Manhattan,444,Madison Avenue,New York,10022,9360,Air Conditioning,MARLEY AQUA TOWER,4535R ,100,Tonnage,12/5/60,,,,no,"(40.757684634134975, -73.97591285253018)"
New York,Manhattan,630,Country Rd,Hempstead,11530,8232,Air Conditioning,Evapco,000-27-630,1000,BTU,12/18/60,10/6/15,11/2/15,10/6/15,no,"(40.7396802892765, -73.61354447119326)"
New York,Manhattan,235,42 St,New York,10017,218,Air Conditioning,Marley (235 Main Tower),NC9156BN,,Tonnage,1/1/61,6/26/17,6/26/17,6/26/17,no,"(40.75017849821921, -73.97262508927558)"
New York,Manhattan,235,42 St,New York,10017,220,Air Conditioning,Marley (235 Tenant Tower),NC301,,Tonnage,1/1/61,6/26/17,6/26/17,6/26/17,no,"(40.75017849821921, -73.97262508927558)"
New York,Manhattan,576,5th Ave,NY,10036,1520,Air Conditioning,Marley,8549,200,Tonnage,1/1/61,5/2/17,6/5/17,5/2/17,no,"(40.756568323, -73.978858663)"
New York,Manhattan,1170,OCEAN PARKWAY,BROOKLYN,11230,6313,Air Conditioning,Marley,Doubel Flow Aquatower,500,Tonnage,4/1/61,6/27/17,5/25/17,10/24/16,no,"(40.62018351, -73.970223414)"
Ontario,,2,South St,Clifton Springs,14432,6839,Refrigeration,Marley Aquatower,168154-1,100,Tonnage,4/3/61,5/25/17,5/25/17,5/25/17,no,"(42.95829368400984, -77.13380177276304)"
New York,Manhattan,708,third avenue,new york,10017,6156,Air Conditioning,MARLEY,30-102,1350,Tonnage,5/9/61,8/18/15,8/19/15,8/19/15,no,"(40.752330443, -73.973528577)"
New York,Manhattan,1080,Fifth Avenue,New York,10128,8868,Air Conditioning,Marley,NC1022GS,,BTU,8/1/61,9/10/15,,,no,"(40.783562286513444, -73.95872716680915)"
Nassau,,110,Maple ave,Rockville Centre,11570,9508,Other,Marley,4437,238,Tonnage,11/10/61,5/22/17,5/31/17,7/15/16,no,"(40.65839406675914, -73.64084784274934)"
New York,Manhattan,979,3 Avenue,New York,10022,3587,Air Conditioning,BAC,unknown,1700,Tonnage,12/31/61,6/19/17,9/18/16,6/19/17,no,"(40.761174489, -73.966708106)"
New York,Manhattan,979,3 Avenue,New York,10022,7573,Air Conditioning,BAC,unknown,1700,Tonnage,12/31/61,6/19/17,6/20/16,6/19/17,no,"(40.761174489, -73.966708106)"
New York,Manhattan,633,Third Avenue,New York,10017,2202,Refrigeration,Marley,3-874,3000,Tonnage,1/1/62,6/19/17,8/21/17,8/3/17,no,"(40.749784021856804, -73.97489941775078)"
