Equipment County,Equipment Borough,Equipment Street No.,Equipment Street Address,Equipment City,Equipment Zip Code,Equip. Unique ID,Intended Use,Manufacturer,Model,Cooling Capacity,Cooling Capacity Unit,Commissioned Date,Inspection Date,Date of Bacteriological Sample Collection,Date of Legionella Sample Collection ,"Last Legionella Sample Result > 1,000 CFU/mL",Location 1
Rockland,,380,Rt 59,Monsey,10952,596,Air Conditioning,Marley,NC8303SM-07,400,Tonnage,11/26/07,5/15/17,5/15/17,3/9/17,no,"(41.111463013, -74.095687138)"
Rockland,,380,Rt 59,Monsey,10952,598,Air Conditioning,Marley,NC8303SM-07,400,Tonnage,11/26/07,5/15/17,5/15/17,3/9/17,no,"(41.11147134357973, -74.09568863966211)"
New York,Manhattan,200,West End Avenue,New York,10023,7565,Air Conditioning,Baltimore Aircoil Company,15425-2,,BTU,11/26/07,,8/18/15,8/18/15,no,"(40.778190313, -73.98519631)"
New York,Manhattan,620,Eighth Ave,New York,10018,136,Air Conditioning,SPX/Marley,NC8312KL2CG 2-Cell,2700,Tonnage,11/29/07,5/10/17,5/10/17,5/10/17,no,"(40.756208628, -73.990299843)"
New York,Manhattan,620,Eighth Ave,New York,10018,137,Air Conditioning,SPX/Marley,NC8312KL3CG 3-Cell,4050,Tonnage,11/29/07,5/10/17,5/10/17,5/10/17,no,"(40.756208628, -73.990299843)"
New York,Manhattan,160,Varick Street,New York,10014,3523,Air Conditioning,Evapco,LSTB-5-112H,150,Tonnage,12/1/07,8/26/15,,,no,"(40.726707393, -74.005526722)"
New York,Manhattan,160,Varick Street,New York,10014,3525,Air Conditioning,Evapco,LSTB-5-112H,150,Tonnage,12/1/07,8/26/15,,,no,"(40.726707393, -74.005526722)"
New York,Manhattan,90,Trinity Pl,New York,10006,8094,Air Conditioning,Baltimore Aircoil Company (BAC),8540067,150,Tonnage,12/1/07,9/29/16,6/28/17,6/15/17,no,"(40.70893137426758, -74.01237705857164)"
Bronx,Bronx,4705,Henry Hudson Parkway,Bronx,10471,11144,Air Conditioning,Baltimore Aircoil Company (BAC),15368,368,Tonnage,12/1/07,8/14/17,8/10/17,8/16/17,no,"(40.89543795999456, -73.90796314060665)"
Bronx,Bronx,4901,Henry Hudson Parkway,Bronx,10471,11145,Air Conditioning,Baltimore Aircoil Company (BAC),15270,270,Tonnage,12/1/07,7/12/17,8/10/17,8/16/17,no,"(40.89685338043322, -73.90787555471861)"
Orleans,,4141, Bates Rd ,Medina,14103,8010,Other,Midwest Towers inc,clt3030-2205-4,9336,Tonnage,12/3/07,7/10/17,9/5/17,7/10/17,no,"(43.21034427394838, -78.36995601534784)"
New York,Manhattan,245,WEST 99TH STREET,New York,10025,7566,Air Conditioning,Baltimore Aircoil Company,3299 A-2,,BTU,12/10/07,,8/18/15,8/18/15,no,"(40.796723443, -73.970549704)"
Erie,,130,Commerce Way,East Aurora,14052,7693,Refrigeration,Baltimore Aircoil Corp.,PT2-0412A-161,149,Tonnage,12/10/07,8/8/17,8/8/17,6/28/17,no,"(42.75812768915648, -78.6375028707139)"
Genesee,,4815,Ellicott Street Rd,Batavia,14020,1437,Other,Baltimore AirCoil Co,VT1-N370-Q,370,Tonnage,12/17/07,2/23/17,2/20/17,2/22/17,no,"(42.98113992446496, -78.16175865353645)"
New York,Manhattan,125,N 10 St,Brooklyn,11249,8059,Other,Baltimore AirCoil,VTO-116/MX,,BTU,12/17/07,8/17/15,8/20/15,,no,"(40.72009558598764, -73.95661831591401)"
Chautauqua,,100,Willowbrook Ave.,Dunkirk,14048,153,Other,Marley Cooling Tower Company,NC421,,BTU,1/1/08,5/16/17,5/26/17,5/16/17,no,"(42.470027138, -79.341648361)"
New York,Manhattan,100,Church Street,New York,10007,879,Air Conditioning,BAC,V SERIES 3000A,4000,Tonnage,1/1/08,6/22/17,6/22/17,6/22/17,no,"(40.713060931, -74.009619945)"
New York,Manhattan,230,West 27th street,New York,10001,1763,Air Conditioning,MARLEY,MARLEY AV SERIES,300,Tonnage,1/1/08,8/13/15,8/13/15,8/13/15,no,"(40.746945582, -73.99474312)"
Livingston,,1,College Cir,Geneseo,14454,1939,Air Conditioning,Baltimore Air Coil,3272 c,400,Tonnage,1/1/08,5/25/17,7/17/17,7/17/17,no,"(42.795724634, -77.819336063)"
New York,Manhattan,40 West,57th Street,New York,10019,2145,Air Conditioning,Baltimore Aircol,VTL-227,250,Tonnage,1/1/08,10/7/16,4/24/17,3/7/17,no,"(40.763605989, -73.975880355)"
New York,Manhattan,1601,Broadway,New York,10019,3142,Air Conditioning,Marley,NC8306,600,Tonnage,1/1/08,5/23/16,8/20/15,6/29/16,no,"(40.760373819, -73.985189677)"
Clinton,,1156,Cook St,Dannemora,12918,4125,Refrigeration,Evapco,LRW-29-4-2,29,Tonnage,1/1/08,7/5/17,7/11/17,7/7/17,no,"(44.722085799153035, -73.72364739077996)"
New York,Manhattan,32,Sixth Ave.,NY,11356,4306,Air Conditioning,Marley,NC8311,,Tonnage,1/1/08,10/7/16,,10/7/16,no,"(40.791430999, -73.849067239)"
Bronx,Bronx,2790,Goulden Avenue,Bronx,10468,4381,Air Conditioning,Baltimore Aircoil Company,15146,,BTU,1/1/08,8/12/15,8/12/15,8/12/15,no,"(40.871341208417405, -73.8970797451448)"
Onondaga,,500,East Taylor Street,Syracuse,13202,4854,Air Conditioning,Cooling Tower Depot,CCF-243025-21-20,5100,Tonnage,1/1/08,8/18/17,8/18/17,8/18/17,no,"(43.039303911, -76.143463127)"
New York,Manhattan,421,West 54th Street,New York,10019,5524,Air Conditioning,Baltimore Aircoil Company,VFL048314,624000,BTU,1/1/08,10/31/16,7/3/17,10/31/16,no,"(40.766622006, -73.988360051)"
New York,Manhattan,421,West 54th Street,New York,10019,5527,Air Conditioning,Baltimore Aircoil Company,VFL048314,624000,BTU,1/1/08,10/31/16,7/3/17,10/31/16,no,"(40.766622006, -73.988360051)"
New York,Manhattan,310,EAST 46TH STREET,NEW YORK,10017,6072,Air Conditioning,Baltimore Aircoil Company,VXI-180-1,,BTU,1/1/08,,,,no,"(40.752006335, -73.969726851)"
Ontario,,300, Forge Ave,Geneva,14456,6147,Other,Baltimore Aircoil Company,FXT-130/X,150,Tonnage,1/1/08,3/2/17,4/5/17,4/5/17,no,"(42.88429928139757, -76.9661535273871)"
New York,Manhattan,1,YORK STREET,NEW YORK,10013,6287,Air Conditioning,Baltimore Aircoil Company,VTL185,,BTU,1/1/08,10/1/15,8/22/16,9/17/15,no,"(40.721133458, -74.005798183)"
New York,Manhattan,1,YORK STREET,NEW YORK,10013,6289,Air Conditioning,Baltimore Aircoil Company,VIL185,,BTU,1/1/08,10/1/15,8/22/16,9/17/15,no,"(40.721133458, -74.005798183)"
New York,Manhattan,60,W 34th Street,New York,10001,7650,Air Conditioning,BAC,VTL-137MMC,137,Tonnage,1/1/08,8/21/16,8/21/16,8/21/16,no,"(40.74975624928473, -73.98782144549322)"
New York,Manhattan,60,W 34th Street,New York,10001,7651,Air Conditioning,BAC,VTL-137MMC,137,Tonnage,1/1/08,8/21/16,8/21/16,8/21/16,no,"(40.74975624928473, -73.98782144549322)"
New York,Manhattan,1511,3rd Ave,New York,10028,7654,Air Conditioning,EVAPCO,LPT-586I,95,Tonnage,1/1/08,8/21/16,8/21/16,8/21/16,no,"(40.77823865013679, -73.95420008628335)"
New York,Manhattan,1529,3 Ave,New York,10128,7659,Air Conditioning,Marley,4790,90,Tonnage,1/1/08,8/21/16,8/21/16,8/21/16,no,"(40.77889019566546, -73.95370869246224)"
Westchester,,333,Westchester Ave,White Plains,10605,7814,Air Conditioning,BAC,3872A-OM-2,1000,Tonnage,1/1/08,6/14/17,7/19/16,6/16/17,no,"(41.02995690746236, -73.74604986388776)"
Westchester,,333,Westchester Ave,White Plains,10605,7815,Air Conditioning,BAC,3872A-OM-2,1000,Tonnage,1/1/08,6/14/17,4/13/16,6/14/17,no,"(41.02995690746236, -73.74604986388776)"
New York,Manhattan,205,montague street,Brooklyn,11201,8242,Air Conditioning,BAC,vto-102-L,102,Tonnage,1/1/08,8/19/17,6/13/17,6/13/17,no,"(40.69402467888627, -73.99102198781732)"
New York,Manhattan,180,East End Avenue,New York,10128,8741,Air Conditioning,Marley,NC8306HI1BB,,BTU,1/1/08,9/8/15,,,no,"(40.77666948959858, -73.94383961112129)"
Niagara,,3807,Highland Avenue,Niagara Falls,14305,9148,Other,Marley,NC Class,1800,Tonnage,1/1/08,7/12/17,9/7/17,4/26/16,no,"(43.123568402227505, -79.04291416344863)"
New York,Manhattan,305,East 24th Street,New York,10010,9197,Air Conditioning,Marley,NC8304BG08,,BTU,1/1/08,7/6/17,8/7/17,7/6/17,no,"(40.738495146552516, -73.98002631801153)"
New York,Manhattan,305,East 24th Street,New York,10010,9198,Air Conditioning,Marley,NC8304BG08,,BTU,1/1/08,7/6/17,8/7/17,7/7/17,no,"(40.738495146552516, -73.98002631801153)"
New York,Manhattan,211,West 61 street,New York,10023,10558,Air Conditioning,AquaTower,494G,50,Tonnage,1/1/08,,,,no,"(40.7721456478809, -73.98755371349713)"
New York,Manhattan,520,West 19th Street ,New York,10011,10947,Air Conditioning,Evapco ,LPT-5712,,,1/1/08,5/1/17,5/1/17,5/1/17,no,"(40.74557928505709, -74.00702883789687)"
New York,Manhattan,44,Mercer Street,New York,10013,10948,Air Conditioning,Evapco,LSWA-30A,110,Tonnage,1/1/08,5/1/17,5/1/17,5/1/17,no,"(40.72154754289748, -74.00107731967522)"
New York,Manhattan,32,Avenue of the Americas,New York,10013,11024,Air Conditioning,Marley,NC8411SG-11,2200,Tonnage,1/1/08,6/2/17,5/26/17,6/2/17,no,"(40.72009206984015, -74.00499011087507)"
Steuben,,926,Addison Road,Painted Post,14870,3433,Air Conditioning,SPX/ Marley,NC8303F2CM,213,Tonnage,1/2/08,7/5/17,9/7/17,7/5/17,no,"(42.112175424, -77.173219686)"
New York,Manhattan,282,27th St,New York,10001,1758,Air Conditioning,Marley,NC Class,4000,Tonnage,1/9/08,8/13/15,8/13/15,8/13/15,no,"(40.747553680873935, -73.9961585344291)"
New York,Manhattan,510,5 Ave,New York,11215,2269,Air Conditioning,EVAPCO,AT-19-912,,BTU,1/9/08,5/11/17,5/11/17,5/11/17,no,"(40.66705770923084, -73.98826389680075)"
New York,Manhattan,254,Park Avenue South,New York,10010,6002,Air Conditioning,EVAPCO,ESWA-216-26L,117300,BTU,1/9/08,,,,no,"(40.738570133, -73.987771263)"
New York,Manhattan,205,E 22 Street,New York,10010,8686,Air Conditioning,EVAPCO,ESWA-102-34K,249.6,Tonnage,1/18/08,9/29/15,8/18/15,8/18/15,no,"(40.73805402839072, -73.9830982569662)"
Chautauqua,,830,Brigham Road,Dunkirk,14048,5229,Other,Delta Cooling Tower Inc,205312,573,Tonnage,1/25/08,8/21/15,8/19/15,,no,"(42.472155673, -79.345550032)"
Suffolk,,101,Wilshire Blvd,Brentwood,11717,7277,Refrigeration,frick/imeco,xlp-mi425,218,Tonnage,1/25/08,9/8/15,9/8/15,9/8/15,no,"(40.77959048334004, -73.29127323912613)"
New York,Manhattan,1305,York Avenue,New York,10021,2733,Refrigeration,Marley,NC8309GL2BG-05,2000,Tonnage,1/31/08,3/16/17,7/18/17,6/13/17,no,"(40.76537832, -73.955054305)"
New York,Manhattan,1305,York Avenue,New York,10021,2735,Refrigeration,Marley,NC8309GL2BG-05,2000,Tonnage,1/31/08,3/16/17,7/18/17,6/13/17,no,"(40.76537832, -73.955054305)"
Kings,Brooklyn,888 Fountain Avenue,Fountain Ave,Brooklyn,11239,309,Air Conditioning,Baltimore Aircoil Company,3436C,2200,Tonnage,2/1/08,4/18/17,4/5/17,4/5/17,no,"(40.65669668877199, -73.86512928593052)"
New York,Manhattan,100,Park Ave,New York,10017,876,Air Conditioning,Marley,NC8312,3600,Tonnage,2/1/08,8/22/17,8/22/17,8/22/17,no,"(40.75125415, -73.978613701)"
New York,Manhattan,888,7th Avenue,New York,10019,2069,Air Conditioning,Baltimore,PT2-1212A-2N1,400,Tonnage,2/1/08,5/15/16,5/15/17,5/15/17,no,"(40.76516061, -73.980340978)"
Chemung,,409,Riverside Avenue,Elmira,14904,3642,Air Conditioning,Marley,ALAV610001G-08,70,Tonnage,2/1/08,9/15/15,9/29/15,9/25/15,no,"(42.084946731, -76.795124129)"
New York,Manhattan,888,7th Avenue,New York,10019,10989,Air Conditioning,BAC,PT2-1212A-2N1,400,Tonnage,2/1/08,5/15/17,5/15/17,5/15/17,no,"(40.765168877071005, -73.98034242112001)"
Orange,,130,Breunig Road,New Windsor,12553,5809,Other,Marley NC,NC8302F,582,Tonnage,2/4/08,9/5/17,9/5/17,9/5/17,no,"(41.487430304, -74.097581648)"
Ulster,,71,Smith Avenue,Kingston,12401,6937,Air Conditioning,Marley,ACH550,200,Tonnage,2/4/08,7/20/17,6/20/17,7/10/17,no,"(41.930134488, -73.998946815)"
New York,Manhattan,184,Kent Avenue,Brooklyn,11249,1727,Air Conditioning,Evapco,LPT-8512f,993.67,Tonnage,2/8/08,4/8/15,8/12/15,4/8/15,no,"(40.718374497, -73.963968899)"
New York,Manhattan,23,West 23rd Street,New York City,10010,244,Air Conditioning,Marley,MCM907732MCC1G-08,180,Tonnage,2/11/08,2/22/17,2/14/17,6/1/17,no,"(40.742074061, -73.990447845)"
Erie,,5732,Big Tree Road,Orchard Park,14127,9515,Air Conditioning,Evapco,ATW 48-3G,28580,,2/21/08,6/15/17,5/5/17,5/5/17,no,"(42.765874315475685, -78.77248324125533)"
New York,Manhattan,40-24,College Point Blvd. ,Flushing,11354,9564,Air Conditioning,Marley,4619586,600,Tonnage,2/25/08,1/11/17,1/11/17,2/22/17,no,"(40.757273611126614, -73.83413131171252)"
Queens,Queens,40-24,college point blvd,Flushing,11354,9565,Air Conditioning,Marley,4619586,600,Tonnage,2/25/08,1/11/17,1/11/17,2/22/17,no,"(40.757273611126614, -73.83413131171252)"
Queens,Queens,40-24,College Point Bvld.,Flushing,11354,9591,Air Conditioning,Marley,4619586,600,Tonnage,2/25/08,1/11/17,1/11/17,2/22/17,no,"(40.757273611126614, -73.83413131171252)"
New York,Manhattan,141,Fifth Avenue,New York,10010,9585,Air Conditioning,Baltimore Aircoil Company,VTL272,,BTU,2/28/08,,,,no,"(40.73998973824574, -73.99048882599791)"
New York,Manhattan,130,Fifth Avenue,New York,10011,582,Air Conditioning,Baltimore Aircoil,15425,425,Tonnage,3/1/08,5/15/17,6/5/17,5/15/17,no,"(40.738730669, -73.991840959)"
New York,Manhattan,4,Irving Place,New York,10003,2159,Air Conditioning,SPX Marley Cooling Tower,1-664CS3,500,Tonnage,3/1/08,6/30/17,8/9/17,7/28/17,no,"(40.734067631, -73.988573932)"
New York,Manhattan,4,Irving Place,New York,10003,2161,Air Conditioning,SPX Marley Cooling Tower,115-1-02,1100,Tonnage,3/1/08,6/30/17,8/9/17,7/28/17,no,"(40.73407589170817, -73.98857537604944)"
Erie,,5732,BIG TREE RD,ORCHARD PARK,14127,3735,Air Conditioning,EVAPCO,ATW-48-3G,65,Tonnage,3/1/08,,,,no,"(42.765865861, -78.772480127)"
New York,Manhattan,60,BEACH STREET,NEW YORK,10013,3750,Air Conditioning,Baltimore Air Coil Company ,15176,176,Tonnage,3/1/08,4/26/17,4/26/17,4/26/17,no,"(40.720586626, -74.009328436)"
Monroe,,160,Sawgrass Dr,Rochester,14620,5162,Air Conditioning,Baltimore Aircoil Company,VFL 036 22L,40,Tonnage,3/1/08,7/11/17,8/18/17,7/11/17,no,"(43.11255428795864, -77.60910014792243)"
Erie,,70,Sayre Street,Buffalo,14207,5738,Other,209M: EVAPCO,AT-224-518,500,Tonnage,3/1/08,2/8/17,4/14/17,7/27/17,no,"(42.947828555, -78.892805618)"
Orange,,606,Thayer Rd,West Point,10996,7201,Air Conditioning,Baltimore Air Coil Company,3299C,200,Tonnage,3/1/08,9/27/16,8/8/17,7/10/17,no,"(41.38710875502069, -73.95617922693755)"
Monroe,,400,Andrews Street,Rochester,14604,7720,Air Conditioning,EVAPCO,LSWA-30A,60,Tonnage,3/1/08,6/13/17,6/13/17,7/13/17,no,"(43.160561923611745, -77.60436461434756)"
New York,Manhattan,8,East 83 street,New York,10028,8865,Air Conditioning,Baltimore Aircoil,VT1-N970-0,,BTU,3/1/08,8/26/15,,,no,"(40.77901949434275, -73.96078942459222)"
New York,Manhattan,363,Hicks st,Brooklyn,11201,10510,Air Conditioning,Baltimore Aircoil Company,3860,900,Tonnage,3/1/08,11/16/16,,,no,"(40.69036297815859, -73.99809969433933)"
Monroe,,1555,Lyell Avenue,Rochester,14606,8133,Air Conditioning,Marley,485,100,Tonnage,3/3/08,4/17/17,4/17/17,4/17/17,no,"(43.1622212416363, -77.66687541940439)"
New York,Manhattan,377,Greenwich Street,New York,10013,8244,Air Conditioning,B.A.C,VTL171,250,Tonnage,3/3/08,,,,no,"(40.71988623553034, -74.01002049780008)"
New York,Manhattan,377,Greenwich Street,New York,10013,8245,Air Conditioning,B.A.C,VTL171,100,BTU,3/3/08,,,,no,"(40.71988623553034, -74.01002049780008)"
Kings,Brooklyn,34,n 7th Street,Brooklyn,11249,10680,Air Conditioning,Evapco,2lpt-8412,850,BTU,3/3/08,2/6/17,2/6/17,8/1/16,no,"(40.72066331757234, -73.96243453734422)"
New York,Manhattan,1111,avenue of the americas,New York,10036,9812,Air Conditioning,Marley,NC 8312SM,1650,Tonnage,3/4/08,9/8/17,9/8/17,8/22/17,no,"(40.75514119935662, -73.98397379130317)"
New York,Manhattan,540,First Avenue,New York,10016,809,Air Conditioning,Marley,M5610852,3600,Tonnage,3/5/08,11/8/16,,10/13/16,no,"(40.742889332, -73.974082431)"
New York,Manhattan,550,First Avenue,New York,10016,817,Air Conditioning,Marley,NC8312R359,6000,Tonnage,3/5/08,8/27/15,,8/27/15,no,"(40.742049057, -73.974486492)"
Orleans,,4141,Bates Road,Medina,14103,825,Other,BAC,CXV-832,1500,Tonnage,3/12/08,7/24/17,8/7/17,7/10/17,no,"(43.21034427394838, -78.36995601534784)"
New York,Manhattan,37,Broadway,Staten Island,10310,3603,Air Conditioning,BAC,VXT-45,45,Tonnage,3/12/08,8/21/15,8/21/15,8/21/15,no,"(40.64039745, -74.117741198)"
Schenectady,,501,Duanesburg rd,Schenectady,12306,7146,Refrigeration,York,xlpxl745,590,Tonnage,3/12/08,6/5/17,8/3/17,6/22/17,no,"(42.78421130383652, -73.9954155377047)"
Queens,Queens,61-01,Junction Blvd,Rego Park,11374,2177,Air Conditioning,Baltimore Aircoil,36-760,560,Tonnage,3/13/08,5/24/17,6/2/17,4/9/17,no,"(40.7336690409915, -73.86438593602935)"
New York,Manhattan,200,Madison Avenue,New York,10016,9981,Air Conditioning,EVAPCO,AT-19-314,300,Tonnage,3/15/08,5/1/17,5/1/17,5/1/17,no,"(40.74880338348138, -73.98238746099315)"
Queens,Queens,61-01,Junction Blvd,Rego Park,11374,2176,Air Conditioning,Baltimore Aircoil,36-760,560,Tonnage,3/18/08,5/24/17,6/2/17,4/9/17,no,"(40.7336690409915, -73.86438593602935)"
New York,Manhattan,122,Greenwich Avenue,New York,10011,9917,Air Conditioning,Evapco,LPT-82120,,BTU,3/19/08,5/3/17,6/1/17,5/3/17,no,"(40.7392530234448, -74.0025560285728)"
New York,Manhattan,122,Greenwich Avenue,New York,10011,9918,Air Conditioning,Evapco,LPT-82120,,Tonnage,3/19/08,9/28/16,,,no,"(40.7392530234448, -74.0025560285728)"
Westchester,,240,Jay Street,Katonah,10536,8597,Refrigeration,Evapco,PMC-240E,35500,CFM,3/20/08,2/19/16,2/11/16,10/6/15,no,"(41.25461720586611, -73.66505215065114)"
Erie,,275,South Main St.,Angola,14006,5951,Refrigeration,York Refrigeration Systems,XLP S-135,14.55,Tonnage,3/21/08,5/3/17,8/4/17,8/4/17,no,"(42.629022639, -79.028379026)"
Schenectady,,501,Duanesburg rd,Schenectady,12306,7149,Refrigeration,frick,xlp-l390,310,Tonnage,3/21/08,6/5/17,8/3/17,6/22/17,no,"(42.78421130383652, -73.9954155377047)"
Nassau,,841,Ethel T. Kloberg Drive,Baldwin,11510,2130,Air Conditioning,Baltimore Aircoil Company,3240A-JM,240,Tonnage,3/31/08,9/4/15,,9/4/15,no,"(40.667531457, -73.605032985)"
New York,Manhattan,10,East 53rd Street,New York,10022,880,Air Conditioning,Marley,NC8308G2,3400,Tonnage,4/1/08,6/22/17,6/22/17,6/22/17,no,"(40.759986752, -73.975213182)"
Dutchess,,2070,Route 52,Hopewell Junction,12533,1078,Air Conditioning,Marley,ULX 3024-75-0.5+5-1,6000,Tonnage,4/1/08,7/13/17,7/13/17,7/13/17,no,"(41.543442149, -73.823592067)"
Dutchess,,2070,Route 52,Hopewell Junction,12533,1082,Air Conditioning,Marley,ULX 3024-75-0.5+5-4,6000,Tonnage,4/1/08,7/13/17,7/13/17,7/13/17,no,"(41.543442149, -73.823592067)"
Queens,Queens,43-82,Vernon Blvd,Long Island City,11101,2036,Air Conditioning,SPX Marley Cooling Tower,NC8305SM-08 ,600,Tonnage,4/1/08,8/14/17,9/6/17,8/21/17,no,"(40.75110507016917, -73.9521385250818)"
Queens,Queens,43-82,Vernon Blvd,Long Island City,11101,2038,Air Conditioning,SPX Marley Cooling Tower,NC8305SM-08 ,600,Tonnage,4/1/08,8/14/17,9/6/17,8/21/17,no,"(40.75110507016917, -73.9521385250818)"
Saratoga,,260,Hudson River Road,Waterford,12188,2183,Other,EVAPCO,USS 19-172,500,Tonnage,4/1/08,2/21/17,3/28/17,3/28/17,no,"(42.815099494, -73.665599779)"
Saratoga,,260,Hudson River Road,Waterford,12188,2206,Other,EVAPCO,USS 19-172,500,Tonnage,4/1/08,2/21/17,3/28/17,3/28/17,no,"(42.815099494, -73.665599779)"
New York,Manhattan,1330,First Avenue,NEW YORK,10021,2569,Other,EVAPCO Tower AT29 - 228 (NYPH-Coleman Tower),AT29 - 228,933103,,4/1/08,7/5/17,7/10/17,7/5/17,no,"(40.767403872, -73.956047649)"
Chenango,,45, South Main St.,New Berlin,13411,3218,Air Conditioning,BaltimoreAircoil,VF1096310,81,Tonnage,4/1/08,5/17/17,5/17/17,6/5/17,no,"(42.620997215, -75.331574741)"
New York,Manhattan,450,West 17 Street,New York,10011,3752,Air Conditioning,Evapco,AT 29-321,448,Tonnage,4/1/08,7/6/16,7/6/16,7/6/16,no,"(40.74381704, -74.006394717)"
New York,Manhattan,250,East 53rd Street,New York,10022,4798,Air Conditioning,Baltimore,VT1-307,307,Tonnage,4/1/08,1/5/17,4/5/17,4/19/17,no,"(40.75680844402562, -73.96753348169034)"
Tompkins,,201,E Green Street,Ithaca,14850,6324,Air Conditioning,Delta,T-125i,162,Tonnage,4/1/08,6/14/17,6/14/16,6/14/17,no,"(42.438555850863864, -76.49655933762592)"
Yates,,418,North Main St.,Penn Yan,14527,6928,Air Conditioning,Evapco,AT-19-79,227,Tonnage,4/1/08,10/11/16,6/27/17,6/27/17,no,"(42.67084617117706, -77.06044869034965)"
Queens,Queens,65-21 ,Main Street,Flushing,11367,7165,Air Conditioning,Marley,AV65031B-08,73200,,4/1/08,7/7/17,4/28/17,8/8/17,no,"(40.736965674, -73.824838279)"
Monroe,,328,East Main Street,Rochester,14604,7365,Air Conditioning,Baltimore Aircoil Company,FEVLQ441,125,Tonnage,4/1/08,9/9/15,9/9/15,9/9/15,no,"(43.157997328, -77.603554315)"
New York,Manhattan,450,West 17th street,New York,10011,8659,Air Conditioning,Evapco,AT 29-321,448,Tonnage,4/1/08,1/13/16,1/1/16,1/13/16,no,"(40.743825302524, -74.00639616746022)"
Bronx,Bronx,5901,Palisade Avenue,Bronx,10471,8893,Air Conditioning,Baltimore Aircoil,3436A-3,900,Tonnage,4/1/08,4/22/16,4/22/16,4/22/16,no,"(40.91022816509342, -73.90875245938595)"
Bronx,Bronx,5959,Palisade Avenue,Bronx,10471,8895,Air Conditioning,Baltimore Aircoil,3604A,600,Tonnage,4/1/08,4/22/16,4/22/16,4/22/16,no,"(40.91013402023631, -73.90829836391746)"
Suffolk,,340,Mill Rd,Westhampton Beach,11978,8949,Air Conditioning,Carrier Air Cooled Aquasnap Chiller,30RAN040J - K511PT,40,Tonnage,4/1/08,,,,no,"(40.81836282123565, -72.65119554631984)"
New York,Manhattan,444,Madison Avenue,New York,10022,9359,Air Conditioning,MARLEY SERIES COOLING TOWER,MCW90174908,400,Tonnage,4/1/08,8/16/16,8/10/16,5/9/16,no,"(40.757684634134975, -73.97591285253018)"
New York,Manhattan,543,West 42nd Street,New York,10036,8240,Air Conditioning,B.A.C.,15160/WQ,160,Tonnage,4/4/08,5/15/17,5/15/17,4/10/17,no,"(40.76029347768055, -73.99688862300127)"
Erie,,1100,Wehrle Dr,Buffalo,14221,9570,Air Conditioning,evapco,ATW-24-4G-2,23,Tonnage,4/4/08,7/20/17,7/20/17,7/31/17,no,"(42.95006250734844, -78.74342187943961)"
New York,Manhattan,37, West 21st Street,New York,10010,9945,Air Conditioning,Baltimore Aircoil Company,VTL152/M,,Tonnage,4/7/08,6/13/17,6/15/17,4/18/17,no,"(40.74118014409166, -73.99241997772842)"
New York,Manhattan,37,West 21st Street,New York,10010,9946,Air Conditioning,Baltimore Aircoil Company,VTL152/M,,Tonnage,4/7/08,9/14/16,8/8/16,7/19/16,no,"(40.74118014409166, -73.99241997772842)"
Westchester,,44,South Broadway,White Plains,10601,3133,Air Conditioning,Marley 2 Cell,NC8304GK,372,Tonnage,4/9/08,4/18/17,4/18/17,4/18/17,no,"(41.03096426072865, -73.76135042031123)"
Westchester,,44,South Broadway,White Plains,10601,6521,Air Conditioning,Marley 2 Cell,NC8304GK,372,Tonnage,4/9/08,4/18/17,4/18/17,4/18/17,no,"(41.030955934, -73.761349031)"
New York,Manhattan,498,7 Ave,New York,10018,1420,Air Conditioning,Baltimore Aircoil Compay,31058AFW,1000,Tonnage,4/10/08,8/30/17,8/8/17,6/2/17,no,"(40.75278941305568, -73.9895463659246)"
Albany,,301,Hackett Blvd,Albany,12208,2466,Air Conditioning,Baltimore Aircoil Company,VF1-096-41P,90,Tonnage,4/14/08,10/4/16,11/7/16,10/4/16,no,"(42.6533396816246, -73.80508755677027)"
Onondaga,,6001,Molloy Rd,Syracuse,13211,4462,Air Conditioning,Evapco,LSWA-41A,125,Tonnage,4/14/08,8/8/17,8/8/17,8/11/17,no,"(43.10073375636001, -76.10377741263626)"
New York,Manhattan,1501,Broadway,New York,10036,11253,Air Conditioning,Marley,4535R,200,Tonnage,4/14/08,6/14/17,6/16/17,6/17/17,no,"(40.757104629187445, -73.98640188408181)"
Monroe,,9,Lomb Memorial Drive,Rochester,14623,247,Air Conditioning,Marley,NC8306J,5000,Tonnage,4/15/08,5/30/17,6/20/17,7/25/17,no,"(43.08509595873879, -77.67438270661802)"
Broome,,101,Murray Hill Rd,Vestal,13850,1994,Air Conditioning,Baltimore Air Coil (BAC),VT1-N240P,278,Tonnage,4/15/08,6/19/17,6/21/17,6/19/17,no,"(42.09305629970527, -75.95997472083087)"
Broome,,101,Murray Hill Rd,Vestal,13850,1995,Air Conditioning,Baltimore Air Coil (BAC),VT0-176-O,207,Tonnage,4/15/08,6/20/17,6/21/17,6/19/17,no,"(42.09305629970527, -75.95997472083087)"
Suffolk,,725,Veterans Memorial Highway,Smithtown,11787,7023,Air Conditioning,MARLEY,NC CLASS,500,Tonnage,4/15/08,,7/21/16,7/21/16,no,"(40.825162797, -73.233553665)"
Suffolk,,235,Griffing Ave,Riverhead,11901,7576,Air Conditioning,Marley,NC Class,500,Tonnage,4/15/08,,10/6/15,10/6/15,no,"(40.918651624, -72.66506118)"
